sample_id,human_answer,manual_category
0,18,CORRECT
1,3,CORRECT
2,,TRUNCATED
3,540,CORRECT
4,20,CORRECT
5,64,CORRECT
6,260,CORRECT
7,160,CORRECT
8,45,CORRECT
9,460,CORRECT
10,366,CORRECT
11,694,CORRECT
12,12,MODEL_WRONG
13,18,PARSER_WRONG
14,60,CORRECT
15,125,CORRECT
16,230,CORRECT
17,57500,CORRECT
18,7,CORRECT
19,6,CORRECT
20,15,CORRECT
21,14,CORRECT
22,7,CORRECT
23,8,CORRECT
24,26,CORRECT
25,2,CORRECT
26,243,CORRECT
27,16,CORRECT
28,25,CORRECT
29,104,CORRECT
30,109,CORRECT
31,80,CORRECT
32,35,CORRECT
33,70,CORRECT
34,23,CORRECT
35,9,CORRECT
36,75,CORRECT
37,0,MODEL_WRONG
38,10,CORRECT
39,18,CORRECT
40,8,CORRECT
41,,TRUNCATED
42,26,CORRECT
43,48,CORRECT
44,20,CORRECT
45,104,CORRECT
46,163,CORRECT
47,800,CORRECT
48,8,CORRECT
49,30,CORRECT
