dataset,component,summed_critical_rank_cuda_event_ms,clean_e2e_upper_bound_percent,evidence_boundary
gsm8k,router,390.39478427171707,6.4263720981609085,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,dispatch,733.057568281889,12.067017524172662,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,expert,1789.9995836615562,29.46556625140763,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,combine,389.2782402522862,6.407992428088664,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,shared,181.1569920163601,2.9820640177160187,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,gather,131.949023945257,2.1720411235596444,observer-heavy component attribution divided by clean E2E; not jointly removable
gsm8k,moe,3615.8361924290657,59.52105344310553,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,router,530.187616109848,7.220492619490675,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,dispatch,978.3182407766581,13.323471583269503,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,expert,2169.9972811341286,29.552650564922864,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,combine,488.9608961679041,6.659036225524392,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,shared,257.0369929689913,3.500522558950439,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,gather,187.35276810638595,2.551510518633142,observer-heavy component attribution divided by clean E2E; not jointly removable
humaneval,moe,4611.853795263916,62.80768407079102,observer-heavy component attribution divided by clean E2E; not jointly removable
