dataset,candidate,oracle_ms,clean_e2e_percent,evidence
gsm8k,perfect_current_fragmentation_removal,202.03397328853606,3.325724474634319,measured expert latency lower-envelope; optimistic
gsm8k,perfect_current_fragmentation_removal_p99_trimmed,201.12946129381658,3.310835109101014,group-p99-winsorized expert latency and trimmed lower-envelope; robust optimistic
gsm8k,hypothetical_live_row_compaction_expert_only,431.43230498646676,7.101899509703926,model-based sensitivity; not measured Epoch
gsm8k,hypothetical_live_row_compaction_expert_only_p99_trimmed,431.82429990835146,7.108352222009803,p99-trimmed shape-model sensitivity; not measured Epoch
gsm8k,post_compaction_fragmentation_residual,129.43091131520728,2.130589932617208,shape-model minus count-matched lower envelope; optimistic sensitivity
gsm8k,post_compaction_fragmentation_residual_p99_trimmed,128.73698253969815,2.1191670225254096,p99-trimmed shape-model minus trimmed lower envelope; robust optimistic sensitivity
gsm8k,feasible_tiny_shape_specialization_50pct_capture,64.71545565760364,1.065294966308604,"bounded feasibility assumption, no implementation"
gsm8k,feasible_tiny_shape_specialization_50pct_capture_p99_trimmed,64.36849126984907,1.0595835112627048,50% capture of robust optimistic post-compaction residual; no implementation
humaneval,perfect_current_fragmentation_removal,209.88663931190968,2.8583936780736807,measured expert latency lower-envelope; optimistic
humaneval,perfect_current_fragmentation_removal_p99_trimmed,209.4432847034931,2.8523557424814134,group-p99-winsorized expert latency and trimmed lower-envelope; robust optimistic
humaneval,hypothetical_live_row_compaction_expert_only,475.4687200394046,6.475289651299401,model-based sensitivity; not measured Epoch
humaneval,hypothetical_live_row_compaction_expert_only_p99_trimmed,475.8567660815234,6.480574353352044,p99-trimmed shape-model sensitivity; not measured Epoch
humaneval,post_compaction_fragmentation_residual,83.99427346471612,1.1438970153271353,shape-model minus count-matched lower envelope; optimistic sensitivity
humaneval,post_compaction_fragmentation_residual_p99_trimmed,83.27198759345546,1.134060384587123,p99-trimmed shape-model minus trimmed lower envelope; robust optimistic sensitivity
humaneval,feasible_tiny_shape_specialization_50pct_capture,41.99713673235806,0.5719485076635676,"bounded feasibility assumption, no implementation"
humaneval,feasible_tiny_shape_specialization_50pct_capture_p99_trimmed,41.63599379672773,0.5670301922935616,50% capture of robust optimistic post-compaction residual; no implementation
