record_type,pair_id,request_id,category,token_bucket,modality,layer,tokens,vision_tokens,text_tokens,total_assignments,vision_assignments,text_assignments,vision_fraction,R_R0,R_R1,R_R2,R_R3,V_R0,V_R1,V_R2,V_R3,T_R0,T_R1,T_R2,T_R3,active_ranks_R,critical_rank_R,critical_rank_V,critical_rank_T,critical_V_eq_R,critical_T_eq_R
request_layer,0,coins,natural,small,vision,0,128,108,20,1024,864,160,0.84375,254,243,205,322,216,216,157,275,38,27,48,47,4,3,3,2,True,False
request_layer,0,coins,natural,small,vision,1,128,108,20,1024,864,160,0.84375,271,232,213,308,224,212,165,263,47,20,48,45,4,3,3,2,True,False
request_layer,0,coins,natural,small,vision,2,128,108,20,1024,864,160,0.84375,331,244,233,216,301,197,188,178,30,47,45,38,4,0,0,1,True,False
request_layer,0,coins,natural,small,vision,3,128,108,20,1024,864,160,0.84375,207,224,342,251,167,195,297,205,40,29,45,46,4,2,2,3,True,False
request_layer,0,coins,natural,small,vision,4,128,108,20,1024,864,160,0.84375,311,281,218,214,285,241,172,166,26,40,46,48,4,0,0,3,True,False
request_layer,0,coins,natural,small,vision,5,128,108,20,1024,864,160,0.84375,216,322,227,259,170,285,190,219,46,37,37,40,4,1,1,0,True,False
request_layer,0,coins,natural,small,vision,6,128,108,20,1024,864,160,0.84375,301,209,244,270,266,166,194,238,35,43,50,32,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,7,128,108,20,1024,864,160,0.84375,136,234,235,419,94,193,213,364,42,41,22,55,4,3,3,3,True,True
request_layer,0,coins,natural,small,vision,8,128,108,20,1024,864,160,0.84375,253,316,234,221,213,259,196,196,40,57,38,25,4,1,1,1,True,True
request_layer,0,coins,natural,small,vision,9,128,108,20,1024,864,160,0.84375,303,203,337,181,268,166,285,145,35,37,52,36,4,2,2,2,True,True
request_layer,0,coins,natural,small,vision,10,128,108,20,1024,864,160,0.84375,289,243,240,252,250,205,196,213,39,38,44,39,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,11,128,108,20,1024,864,160,0.84375,217,286,317,204,158,252,281,173,59,34,36,31,4,2,2,0,True,False
request_layer,0,coins,natural,small,vision,12,128,108,20,1024,864,160,0.84375,207,334,277,206,180,300,229,155,27,34,48,51,4,1,1,3,True,False
request_layer,0,coins,natural,small,vision,13,128,108,20,1024,864,160,0.84375,288,295,203,238,235,264,170,195,53,31,33,43,4,1,1,0,True,False
request_layer,0,coins,natural,small,vision,14,128,108,20,1024,864,160,0.84375,262,368,178,216,209,340,145,170,53,28,33,46,4,1,1,0,True,False
request_layer,0,coins,natural,small,vision,15,128,108,20,1024,864,160,0.84375,276,354,210,184,234,300,170,160,42,54,40,24,4,1,1,1,True,True
request_layer,0,coins,natural,small,vision,16,128,108,20,1024,864,160,0.84375,317,242,183,282,287,206,130,241,30,36,53,41,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,17,128,108,20,1024,864,160,0.84375,296,313,228,187,256,272,176,160,40,41,52,27,4,1,1,2,True,False
request_layer,0,coins,natural,small,vision,18,128,108,20,1024,864,160,0.84375,257,232,220,315,217,189,162,296,40,43,58,19,4,3,3,2,True,False
request_layer,0,coins,natural,small,vision,19,128,108,20,1024,864,160,0.84375,215,248,152,409,175,211,127,351,40,37,25,58,4,3,3,3,True,True
request_layer,0,coins,natural,small,vision,20,128,108,20,1024,864,160,0.84375,332,226,228,238,293,181,189,201,39,45,39,37,4,0,0,1,True,False
request_layer,0,coins,natural,small,vision,21,128,108,20,1024,864,160,0.84375,299,237,317,171,262,209,271,122,37,28,46,49,4,2,2,3,True,False
request_layer,0,coins,natural,small,vision,22,128,108,20,1024,864,160,0.84375,331,196,254,243,296,160,205,203,35,36,49,40,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,23,128,108,20,1024,864,160,0.84375,245,310,234,235,188,280,203,193,57,30,31,42,4,1,1,0,True,False
