request_id,condition,image_count,diversity,prompt_tokens,vision_tokens,category,prefill_wall_ms,expert_ms,dispatch_ms,combine_ms,comm_ms,effective_experts,active_experts,expert_hhi,rank_imbalance,rank_cv,total_assignments,prefill_ms_per_token,expert_ms_per_token
diverse2_small,diverse_multi_image,2,diverse,256,234,multi_image,125.41064750000001,0.42497600615024567,0.36616000533103943,0.11908800154924393,0.4933599978685379,84.80118059778306,122.0,0.014947550477735714,1.176356589147287,0.13414303682046885,2064.0,0.48988534179687504,0.0016600625240243971
diverse4_small,diverse_multi_image,4,diverse,772,746,multi_image,2972.668715,0.4696799963712692,0.4145760089159012,0.10526399686932564,0.5358559899032116,90.70665291814082,127.0,0.013662263844654101,1.142764857881137,0.11061484874690172,6192.0,3.850607143782383,0.0006083937776829912
diverse8_small,diverse_multi_image,8,diverse,1672,1638,multi_image,225.879872,0.5226079821586609,0.44947201013565063,0.13185599446296692,0.5949599929153919,96.42022992162754,128.0,0.012872873246603831,1.1356033452807646,0.10475614614264839,13392.0,0.1350956172248804,0.000312564582630778
repeat2_coins,repeated_multi_image,2,repeated,238,216,natural,2842.5956015,0.4225600063800812,0.42395199835300446,0.11884799972176552,0.5469280034303665,67.76876497590462,113.0,0.020697428385416668,1.2322916666666668,0.16527005252966118,1920.0,11.94367899789916,0.0017754622116810134
repeat4_coins,repeated_multi_image,4,repeated,458,432,natural,133.724314,0.4388960003852844,0.36294400691986084,0.1244800016283989,0.495728000998497,66.73967618044627,117.0,0.020135500354442344,1.2130434782608694,0.16723534605536333,3680.0,0.29197448471615717,0.0009582882104482192
repeat8_coins,repeated_multi_image,8,repeated,898,864,natural,3036.1385015,0.4666240066289902,0.42638400197029114,0.11011200025677681,0.5383680053055286,65.5808893687034,119.0,0.02103533950617284,1.218888888888889,0.1627123958916134,7200.0,3.381000558463252,0.0005196258425712585
single_coins,single_image,1,single,123,108,natural,2930.4465705000002,0.41894400119781494,0.4424160122871399,0.11265600100159645,0.5620320029556751,64.96988733273224,105.0,0.021374637818090198,1.2321428571428572,0.17603763558182536,1008.0,23.82476886585366,0.0034060487902261376
single_grass,single_image,1,single,271,256,fine_grained,131.8418345,0.429407998919487,0.3814080059528351,0.12384000048041344,0.5116159990429878,84.72891551592225,122.0,0.015063901912728436,1.1669708029197081,0.13101211541615876,2192.0,0.4865012343173432,0.0015845313613265203
text_control_large,text_only,0,none,1589,0,text_only,2890.3147365,0.5227200090885162,0.4145440012216568,0.12902399897575378,0.5490719974040985,52.959926221300066,120.0,0.029596617864763516,1.3024497487437185,0.22362182105655593,12736.0,1.8189520053492763,0.0003289616167957937
text_control_medium,text_only,0,none,277,0,text_only,118.4574815,0.433104008436203,0.5086719989776611,0.13337599486112595,0.6684480011463165,54.99902485785223,105.0,0.028484534438775508,1.2589285714285714,0.2245876364949029,2240.0,0.4276443375451264,0.0015635523770260037
text_control_small,text_only,0,none,128,0,text_only,2894.2392065,0.5631999969482422,1.314784049987793,0.4041920006275177,1.7008320689201355,55.85020861602541,95.0,0.024644045857988166,1.275,0.20749539683967638,1040.0,22.61124380078125,0.004399999976158142
