source,sample_id,category,layer,ep_size,semantic_vision_assignments,refined_vision_assignments,risk_ratio,semantic_load,refined_load,stock_max_rank_load,semantic_max_rank_load,semantic_mean_rank_load,semantic_max_mean,refined_max_rank_load,refined_mean_rank_load,refined_max_mean,additional_max_rank_work_removed,incremental_max_rank_oracle_pct,semantic_max_rank_reduction_vs_stock_pct,refined_max_rank_reduction_vs_stock_pct,incremental_max_rank_reduction_pp
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,4,2,566,566,0.9710339037256984,"[400, 366]","[383, 383]",520,400,383.0,1.0443864229765014,383,383.0,1.0,17,4.25,23.076923076923077,26.346153846153847,3.269230769230769
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,4,4,566,566,0.9182220683483574,"[199, 201, 181, 185]","[190, 192, 192, 192]",260,201,191.5,1.0496083550913837,192,191.5,1.0026109660574412,9,4.477611940298507,22.692307692307693,26.153846153846153,3.4615384615384617
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,4,8,566,566,0.96002088633293,"[128, 71, 77, 124, 93, 88, 82, 103]","[97, 86, 97, 98, 97, 97, 97, 97]",169,128,95.75,1.3368146214099217,98,95.75,1.0234986945169713,30,23.4375,24.2603550295858,42.01183431952663,17.75147928994083
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,4,16,566,566,0.9409456666421314,"[79, 49, 30, 41, 60, 17, 70, 54, 48, 45, 54, 34, 29, 53, 49, 54]","[53, 53, 39, 44, 53, 20, 53, 53, 53, 53, 53, 43, 37, 53, 53, 53]",101,79,47.875,1.650130548302872,53,47.875,1.1070496083550914,26,32.91139240506329,21.782178217821784,47.524752475247524,25.742574257425744
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,12,2,566,566,0.920208586342306,"[347, 419]","[383, 383]",553,419,383.0,1.0939947780678851,383,383.0,1.0,36,8.591885441527447,24.231464737793853,30.741410488245933,6.509945750452079
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,12,4,566,566,0.9217549320917248,"[191, 156, 234, 185]","[191, 191, 192, 192]",304,234,191.5,1.2219321148825066,192,191.5,1.0026109660574412,42,17.94871794871795,23.026315789473685,36.8421052631579,13.81578947368421
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,12,8,566,566,0.9315810493825541,"[115, 76, 105, 51, 83, 151, 109, 76]","[101, 95, 101, 71, 101, 101, 101, 95]",192,151,95.75,1.577023498694517,101,95.75,1.0548302872062663,50,33.11258278145695,21.354166666666668,47.395833333333336,26.041666666666668
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,12,16,566,566,0.9360456294801661,"[61, 54, 29, 47, 62, 43, 19, 32, 37, 46, 65, 86, 69, 40, 41, 35]","[55, 55, 41, 53, 55, 41, 26, 37, 44, 53, 55, 55, 55, 50, 51, 40]",113,86,47.875,1.7963446475195823,55,47.875,1.1488250652741514,31,36.04651162790697,23.893805309734514,51.32743362831859,27.43362831858407
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,24,2,566,566,0.9092851007899864,"[371, 395]","[383, 383]",521,395,383.0,1.031331592689295,383,383.0,1.0,12,3.037974683544304,24.18426103646833,26.48752399232246,2.3032629558541267
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,24,4,566,566,0.8954306409423164,"[191, 180, 203, 192]","[192, 191, 192, 191]",267,203,191.5,1.0600522193211488,192,191.5,1.0026109660574412,11,5.41871921182266,23.970037453183522,28.089887640449437,4.119850187265918
