label,task,n,mini,generation,threshold,policy,policy_class,observer_heavy,correct,accuracy_pct,nfe,generated_tokens,bct_s,waves,evidence
dynpilot1_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.9",dynamic,False,13,40.625,102,5224,7.7039,1,actual_full_trajectory
full1phase_gsm8k1319_p00,gsm8k,1319,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,146,11.06899166034875,2965,148237,212.0893,42,actual_full_trajectory
hemini16phase_humaneval164_p00,humaneval,164,16,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,14,8.536585365853659,613,23427,45.294200000000004,6,actual_full_trajectory
phase32a_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.8,0.9",dynamic,False,12,37.5,96,5223,7.1328,1,actual_full_trajectory
phase32a_gsm8k32_p01,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.9",dynamic,False,12,37.5,99,5240,7.3507,1,actual_full_trajectory
phase32a_gsm8k32_p02,gsm8k,32,32,128,0.9,"phase:0.825,0.9,0.9",dynamic,False,12,37.5,103,5244,7.6125,1,actual_full_trajectory
phase32a_gsm8k32_p03,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.825",dynamic,False,12,37.5,102,5218,7.558,1,actual_full_trajectory
phase32a_gsm8k32_p04,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,13,40.625,95,5213,7.115,1,actual_full_trajectory
phase32a_gsm8k32_p05,gsm8k,32,32,128,0.9,"phase:0.825,0.8,0.9",dynamic,False,12,37.5,92,5267,7.0497,1,actual_full_trajectory
phase32a_gsm8k32_p06,gsm8k,32,32,128,0.9,"phase:0.8,0.9,0.9",dynamic,False,12,37.5,102,5216,7.9647,1,actual_full_trajectory
promoted1phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,85.558,16,actual_full_trajectory
promoted2phase_retry_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,95.1646,16,actual_full_trajectory
promoted3phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,87.3608,16,actual_full_trajectory
