label,status,error,observer_heavy,started_at,result
dynpilot1_gsm8k32_p00,complete,,False,1789459299.3592618,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/dynpilot1_gsm8k32_p00
frontier1_gsm8k32_t800,complete,,False,1789458310.0188794,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t800
frontier1_gsm8k32_t850,complete,,False,1789458131.4680092,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t850
frontier1_gsm8k32_t950,complete,,False,1789458219.081482,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t950
frontier2_gsm8k32_t825,complete,,False,1789458630.5618274,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t825
frontier2_gsm8k32_t875,complete,,False,1789458531.948596,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t875
frontier2_gsm8k32_t900,complete,,False,1789458724.5032003,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t900
frontier2_gsm8k32_t925,complete,,False,1789458433.2073812,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t925
full1_gsm8k1319_t900,complete,,False,1789461676.879824,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1_gsm8k1319_t900
full1phase_gsm8k1319_p00,complete,,False,1789461985.888055,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1phase_gsm8k1319_p00
full1static_gsm8k1319_t800,complete,,False,1789463075.1564302,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1static_gsm8k1319_t800
full1static_gsm8k1319_t825,complete,,False,1789462756.0226614,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1static_gsm8k1319_t825
full2static_gsm8k1319_t800,complete,,False,1789463451.9888878,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full2static_gsm8k1319_t800
full2static_gsm8k1319_t825,complete,,False,1789463761.7986088,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full2static_gsm8k1319_t825
gsm32_t090_r1,failed,incomplete_or_unscored,False,,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/gsm32_t090_r1
gsm32_t090_r2,complete,,False,,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/gsm32_t090_r2
hefull1_humaneval164_t900,failed,OOM,False,1789462300.1070294,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/hefull1_humaneval164_t900
hemini16_humaneval164_t900,complete,,False,1789462427.7687798,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/hemini16_humaneval164_t900
hemini16phase_humaneval164_p00,complete,,False,1789462582.3779473,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/hemini16phase_humaneval164_p00
observer_base_gsm32,complete,,True,1789464051.6687007,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/observer_base_gsm32
observer_phase_gsm32,complete,,True,1789464188.0139148,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/observer_phase_gsm32
pair2_gsm8k32_t825,complete,,False,1789458851.4276638,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair2_gsm8k32_t825
pair2_gsm8k32_t900,complete,,False,1789458934.457357,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair2_gsm8k32_t900
pair3_gsm8k32_t825,complete,,False,1789459103.9486606,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair3_gsm8k32_t825
pair3_gsm8k32_t900,complete,,False,1789459023.8428783,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair3_gsm8k32_t900
phase32a_gsm8k32_p00,complete,,False,1789459423.507838,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p00
phase32a_gsm8k32_p01,complete,,False,1789459511.4134161,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p01
phase32a_gsm8k32_p02,complete,,False,1789459607.710765,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p02
phase32a_gsm8k32_p03,complete,,False,1789459697.1883028,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p03
phase32a_gsm8k32_p04,complete,,False,1789459787.9898055,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p04
phase32a_gsm8k32_p05,complete,,False,1789459878.0873284,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p05
phase32a_gsm8k32_p06,complete,,False,1789459969.7768083,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p06
promoted1_gsm8k512_t825,complete,,False,1789460296.767826,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1_gsm8k512_t825
promoted1_gsm8k512_t900,complete,,False,1789460076.0498884,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1_gsm8k512_t900
promoted1phase_gsm8k512_p00,complete,,False,1789460549.6328835,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1phase_gsm8k512_p00
promoted2_gsm8k512_t900,complete,,False,1789460944.954033,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted2_gsm8k512_t900
promoted2phase_gsm8k512_p00,failed,TCP_port_collision,False,1789460755.5432312,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted2phase_gsm8k512_p00
promoted2phase_retry_gsm8k512_p00,complete,,False,1789461124.0201194,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted2phase_retry_gsm8k512_p00
promoted3_gsm8k512_t900,complete,,False,1789461474.4292233,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted3_gsm8k512_t900
