candidate,id,assumption,evidence,failure_type,materiality,causal_control,trivial_fix,headroom,status
FASTPP,F01,ALP improves all arrival regimes,Dense 3-pair steady gain and bursty loss persist with P2P enabled,ORIGINAL_METHOD_DIRECTION_NOT_MLLM_FAILURE,ALP bursty E2E worsens median 10.52-14.11 percent,Same requests and randomized restarts plus P2P control,Existing greedy recovers 70.92 and 89.66 percent in two failing blocks,New successor E2E not established,DIAGNOSTIC_CORRECTNESS_PENDING
FASTPP,F02,Selecting among existing policies leaves large additional gain,Dense existing-policy best-static versus per-regime envelope,TRIVIAL_POLICY_SPACE,Only 0.25-0.64 percent additional mean E2E envelope,Three-restart median workload costs,Greedy is strong best-static control,NOT a bound on untested partition or MoE transfer,LOW_HEADROOM_FOR_PLAIN_POLICY_SELECTION
FASTPP,F03,Actual ALP predictor collapses on Qwen3 MoE,Updated v3 measured pre-update median host APE EXTEND 8.62 percent MIXED 3.64 percent decode 18.59 percent,INSTRUMENTED_DIAGNOSTIC,Decode has only 13 training samples and mixed has 933; no established request-level predictor failure,Actual predictor and learner semantics CPU regression plus 3950 exact four-rank joins,Full-workload warmup five-knob control running; static partition complete,Stage partition proxy 23-26 percent is not E2E,DIAGNOSTIC_NOT_SUCCESSOR_HEADROOM
NANOFLOW,N01,Split copy preserves activation function,Sigmoid changed to silu_mul by original copy factory,PORT_COMPATIBILITY_BUG,Two-part path failed before repair,Actual method-body RED and GREEN plus fresh HF smoke,One argument preserves act_fn,No research headroom claim,TRIVIAL_REPAIR_COMPLETE
NANOFLOW,N02,Four-prompt exact smoke certifies diverse split execution,Independent HF same-prefix B4 127/128 and B16 507-508/512; all mismatches HF top-two gap <=0.015625,NUMERICAL_SENSITIVITY_NOT_ESTABLISHED_SEMANTIC_BUG,Not a benchmark quality-equivalence proof,Four native engines per size plus independent HF and same-plan controls,No routing or numerical kernel change,Manual plan is not paper searched optimum,DIAGNOSTIC_COMPLETE
LAYERED_PREFILL,L01,Equal contiguous groups remain adequate for VL profiles,VLLM measured-cost diagnostic plus native 21 graph engines and three mechanism runs,TRANSFER_PROXY_NOT_NATIVE_VL_FAILURE,Original bursty gain exists but broader four-knob additional E2E envelope only 0.657 percent,Exact DP solver checked against brute force; native request identities and assignment conservation pass,Official cap4 cap12 cap24 chunk2048 full-workload-warmup control complete,Finite envelope only; arbitrary partitions and native VL not bounded,BOUNDED_NEGATIVE_WITH_PORT_LIMIT
COMMON,C01,Full operation observer is negligible,Same-input VL instrumented versus clean restart,MEASUREMENT_CONFOUND,Observed E2E difference 16.37-19.58 percent,Single restart pair only,Reduce sampling and repeat on GPU,Observer cost is not successor headroom,EXCLUDE_FROM_OPTIMIZATION_CLAIMS
COMMON,C02,Sparse layer observer has negligible request overhead,Three paired independent Qwen3-VL runs with actual images and DeepEP4,MEASUREMENT_CONFOUND,Median request overhead 2.54-6.54 percent by family and as high as 10.78 in one pair,Same request pool and shared randomized family order within each block,Keep clean request measurements separate,Prefill-only fixed-timeline zero-TTFT bound 6.08-11.52 percent not full scheduling bound,DIAGNOSTIC_TIMES_NOT_CLEAN_E2E
NANOFLOW,N03,More operation overlap means lower request latency,Native CUDA/NVTX graph versus FFN split2 at B16,KNOWN_SMALL_BATCH_OVERHEAD,Compute-NCCL overlap 0 to 1.63ms while profiled step 9.26 to 12.70ms,Same native cohort and actual stream trace; profiled timing excluded from performance,Three-plan large-prefill control complete; larger decode queued,No positive E2E headroom claimed,ORIGINAL_KNOWN_REGIME_NOT_NOVEL_FAILURE
FASTPP,F04,Existing explicit uneven PP flag also sizes KV correctly,Native make_layers uses requested indices but KV layer count was always floor L/PP,PORT_COMPATIBILITY_BUG,More than twelve owned layers alias KV slots without a correction,Actual function CPU red two failures then green all three tests; native sanity required,Opt-in owned-layer count and conservative common KV cap,No research headroom from correcting a port bug,TRIVIAL_COMPATIBILITY_CONTROL
NANOFLOW,N04,Partial FFN plan can start directly in pure prefill,Native auto-search loader skips algorithms of unlisted operators,ADAPTER_LIFECYCLE_BUG,First pure-prefill split fails with missing PFAttn impl while unsplit works,Stopped failing screen; CPU missing-versus-existing implementation regression and fresh native smoke pass,Initialize unplanned operators with unchanged official default tags,Failed runs excluded; subsequent 18-engine prefill screen complete,TRIVIAL_PORT_REPAIR_NOT_METHOD_FAILURE
FASTPP,F05,Measured minimax layer cost is portable to a new PP partition,Native equal12 versus 8-12-14-14 at identical KV cap and full-trace warmup,FAILED_PROXY_TO_E2E_INFERENCE,All three pairs regress; median request E2E reduction -14.91 percent steady and -11.98 percent bursty,Randomized independent paired restarts with same requests and no mechanism hooks,Original equal partition wins,No positive feasible successor headroom established,NEGATIVE_CAUSAL_CONTROL
NANOFLOW,N05,Only final prompt positions undergo vocabulary projection,Native M8192 logits shape 8192x151936 before selecting four positions,KNOWN_ENGINEERING_OPPORTUNITY_NOT_SCHEDULING_FINDING,Raw materialization verified but no request saving assigned,Same-prefix numerical capture and native source path,Existing last-token projection principle,Unmeasured; cannot promote,TRIVIAL_BASELINE_CONCERN
COMMON,C03,Matching visual and text token counts establishes scheduler modality failure,120 actual exact-token clean pairs across three large-image restart blocks,INSUFFICIENT_CAUSAL_EVIDENCE,Common observer state variation about -9 to +58 percent; entire-TTFT share is not removable work,Same total prompt tokens and same request identity; different task content and encoder remain,Use clean request data and do not project instrumented stages,Native three-system MLLM successor oracle not established,TRANSFER_DIAGNOSTIC_ONLY
