timestamp,stage,attempt,status,evidence,notes
2026-09-14T21:28:00+09:00,contract,spec_read,PASS,575-line source spec read in full,external working contract retained byte-for-byte
2026-09-14T21:31:00+09:00,safety,gpu_process_audit,PASS,physical GPUs 4-7 empty,unrelated GPU0-3 processes untouched
2026-09-14T21:42:00+09:00,crossover,M1_to_1024,PASS,44 shape-policy pairs x10 repetitions,LL wins all
2026-09-14T21:53:00+09:00,crossover,M2048_to_4096_initial,BLOCKED,NVSHMEM QP creation failed at overly large depth,retried with minimum valid depth
2026-09-14T21:55:00+09:00,crossover,M2048_to_4096,PASS,8 shape-policy pairs x10 repetitions,LL still wins
2026-09-14T21:56:00+09:00,crossover,M8192,PASS,4 shape-policy pairs x8 repetitions,Normal wins all
2026-09-14T21:57:00+09:00,crossover,M16384,ENVIRONMENT_BLOCKED,DeepEP V1 int32 RDMA-buffer assertion,not counted as method failure
2026-09-14T21:59:00+09:00,capacity,broad_matrix,PASS,50 valid M-capacity pairs x10 repetitions,capacity is per source rank
2026-09-14T22:01:00+09:00,capacity,M32_three_restart,PASS,3 independent processes,non-monotonic latency effect
2026-09-14T22:05:00+09:00,inflight,synthetic_three_restart,PASS,Q1-16 homogeneous and heterogeneous,legal two-buffer lifetime
2026-09-14T22:07:00+09:00,stream,real_trace_extract,PASS,146 chronological layer-16 refinement shapes,measured routes plus oracle live filter
2026-09-14T22:10:00+09:00,inflight,real_age_offset_three_restart,PASS,Q1-16 exact communication replay,max rel-L2 7.71e-4
2026-09-14T22:13:00+09:00,serving,route_replay,PASS,Poisson bursty closed-loop x5 seeds,real LLaDA2 promotion skipped because gate failed
2026-09-14T22:15:00+09:00,kernel,promotion_gate,SKIPPED,credible O4 below 8 percent,no CUDA kernel implemented
