global_m,contract_capacity_per_rank,policy,repeat,transaction_ms,dispatch_ms,combine_ms,capacity_is_per_source_rank
8,32,low_latency,4.5,0.09350400045514051,0.0424479991197585,0.0379679985344405,True
8,32,normal,4.5,0.26017598807811704,0.06651199981570201,0.053951999172568,True
8,64,low_latency,4.5,0.08720000088214801,0.0376960001885885,0.036927999928593504,True
8,64,normal,4.5,0.254096001386642,0.065584000200033,0.053231999278068,True
8,128,low_latency,4.5,0.08542399853467901,0.0370240006595845,0.034687999635934504,True
8,128,normal,4.5,0.2530080005526535,0.061327999457716505,0.057680001482367,True
8,256,low_latency,4.5,0.09710399806499401,0.0438879989087575,0.0383999999612565,True
8,256,normal,4.5,0.24835199862718552,0.06233599968254551,0.05254399962723201,True
8,512,low_latency,4.5,0.08971200138330401,0.040112001821398,0.0375679992139335,True
8,512,normal,4.5,0.2468800023198125,0.062176000326871504,0.0515039991587395,True
8,1024,low_latency,4.5,0.086816001683473,0.038255998864769505,0.03680000081658301,True
8,1024,normal,4.5,0.24883200228214203,0.064496003091335,0.0531360004097215,True
8,2048,low_latency,4.5,0.08984000235795951,0.041823999956249504,0.0373919997364275,True
8,2048,normal,4.5,0.2520160079002375,0.06388800218701302,0.051056001335382004,True
16,32,low_latency,4.5,0.088672000914812,0.039456000551581,0.0360640008002515,True
16,32,normal,4.5,0.2666559964418405,0.0665440000593655,0.05664000101387451,True
16,64,low_latency,4.5,0.09688000008463801,0.0480800010263915,0.03760000132024251,True
16,64,normal,4.5,0.27838400006294206,0.07087999954819602,0.05937599949538651,True
16,128,low_latency,4.5,0.113744001835584,0.05934400111436801,0.041472001001238004,True
16,128,normal,4.5,0.32590399682521803,0.10019199922680802,0.105200000107288,True
16,256,low_latency,4.5,0.122063998132944,0.06708800047635952,0.04356800019741,True
16,256,normal,4.5,0.3684640079736705,0.128544002771377,0.10536000132560651,True
16,512,low_latency,4.5,0.0881279967725275,0.039168000221252004,0.036704000085592006,True
16,512,normal,4.5,0.2581920027732845,0.062224000692367006,0.0516000017523765,True
16,1024,low_latency,4.5,0.0877119973301885,0.038607999682426,0.037488000467419,True
