candidate,novelty,headroom,generality,systematicity,nontriviality,method_space,intro_strength,evidence,total,status,reason
token_scoped_combine_release,3,1,2,4,4,4,3,1,22,CLOSED,fundamental but direct tail mass 1.09%; verification cost unknown
engine_worker_ownership_split,3,1,2,4,4,4,3,1,22,CLOSED,source choice is real; no measured request mass
device_side_metadata_lifecycle,2,1,3,2,2,2,2,4,18,CLOSED,0.1137 ms median and ordinary reuse is trivial
scoped_deepep_notification,2,1,2,3,3,3,4,3,21,CLOSED,wait-aware policy unstable and crowded generic overlap
safe_midstep_admission,2,1,3,4,3,4,3,2,22,CLOSED,wave-only effects; request mass <=2.5%
state_aware_workspace_contract,3,2,2,4,3,4,3,1,22,UNKNOWN,common state observed but no direct mass or intervention
cross_request_slack_borrowing,2,2,3,4,3,4,3,1,22,UNKNOWN,possible structural axis; scheduler/prior-art risk
rank_scoped_progress,2,1,2,3,3,3,3,3,20,CLOSED,direct economic cap below gate
phase_specific_execution_contract,2,2,3,3,3,3,3,2,21,CLOSED,static/backend envelope below 3%; phase switching crowded
immutable_topk_contract,2,1,3,3,3,3,3,2,20,CLOSED,quality/skip/speculation and prior art kill
