id,cluster,hidden_assumption,current_evidence_or_source,counterfactual_and_work_removed,new_cost_or_dependency,analytical_direct_e2e_pct,prior_art_risk,gate,status
A01,dependency,Every routed expert contribution must complete before the next transformer block,DeepEP receiver returns an event and downstream stream waits; exact model dependency,defer late contributions and run downstream provisionally,verification/recompute and quality risk,0-11 depending on acceptance,SpecMoE/skip overlap,HIGH_HEADROOM_REQUIRED,DROP_NO_SAFE_ORACLE
A02,dependency,One global combine completion is required before any token can proceed,deepep_ht _receiver waits then copies combined output,token-scoped readiness could release independent tokens,ordering metadata and partial-output contract,UNKNOWN,ScMoE/FarSkip,ANALYTICAL_UNKNOWN,UNTESTED
A03,dependency,All tokens in an invocation share one readiness boundary,vLLM FusedMoE invocation is batch-level,release completed token groups independently,ragged downstream and attention ordering,UNKNOWN,chunked prefill,ANALYTICAL_UNKNOWN,UNTESTED
A04,dependency,Cross-rank completion must be represented by a single event,DeepEP EventOverlap exposes one receiver handle,rank-scoped dependency graph,more event bookkeeping and deadlock surface,UNKNOWN,DeepEP overlap,ANALYTICAL_UNKNOWN,UNTESTED
A05,dependency,A new dispatch cannot be enqueued while the previous communication is outstanding,previous_event passed to get_dispatch_layout/dispatch,queue independent collectives with bounded credits,buffer pressure and progress ordering,1.09 upper bound from tails,ASAP/async EP,LOW_HEADROOM,DROP
A06,dependency,Dispatch and combine must use the same fixed communication stream,source switches compute/comm streams around HT calls,split lanes by criticality,stream arbitration and memory ordering,<=2.10 config envelope,DeepEP runtime,LOW_HEADROOM,DROP
A07,dependency,Communication progress has no deadline relative to next compute,notify/barrier kernels can run late in Nsight,deadline-aware progress,priority inversion and fairness,1.09 upper bound,async overlap papers,LOW_HEADROOM,DROP
A08,dependency,Every DP rank must participate in every step,coordinate_batch_across_dp all-reduces token counts; execute_dummy_batch path,skip/aggregate idle rank participation,collective semantics and dummy safety,-0.26 observed dummy effect,DP batching,LOW_HEADROOM,DROP
A09,dependency,DP descriptor synchronization scope must include all DP ranks,dp_utils _synchronize_dp_ranks source,localize sync to active subset,rank agreement / divergent graphs,0.03 observed NCCL control,DP systems,LOW_HEADROOM,DROP
A10,dependency,The scheduler step is atomic across prefill and decode,gpu_model_runner coordinates each step and phase,admit work at finer boundaries,interleaving and fairness,1.5 max prior mixed-phase effect,Layered Prefill,MEDIUM_CROWDING,DROP
A11,ownership,The worker must own all model execution decisions,execute_model is worker-owned source,move dependency-aware decisions to engine/scheduler,IPC/state visibility and policy overhead,UNKNOWN,vLLM architecture,ANALYTICAL_UNKNOWN,UNTESTED
A12,ownership,The engine cannot borrow slack from another request,continuous batching scheduler keeps request state,share safe slack across request groups,isolation/fairness and KV lifetime,UNKNOWN,PROBE/Gimbal,ANALYTICAL_UNKNOWN,UNTESTED
A13,ownership,Requests are independent for collective scheduling,DP/EP collective groups are process-global,co-schedule complementary requests,interference and fairness,<=2.5 prior turnover effect,rebatching literature,LOW_HEADROOM,DROP
A14,ownership,Placement is immutable for a request,linear expert map and EPLB-off runtime,move/replicate experts mid-request,migration and consistency,RL/EPLB cost not measured here,ELPB/CIA,PRIOR_ART_COLLISION,DROP
A15,materialization,Expert counts must be materialized as a Python list each layer,make_from_list source comment says GPU recompute TODO,device-side counts or persistent metadata,device kernel and lifetime correctness,~0.4 conservative metadata share,DA-MoE kernel tuning,LOW_HEADROOM,DROP
A16,materialization,Top-k IDs must be copied/packed before dispatch,topk tensors passed to DeepEP and local remap in receiver,stream top-k directly into communication,layout coupling and format constraints,UNKNOWN,routing systems,ANALYTICAL_UNKNOWN,UNTESTED
A17,materialization,All expert outputs must be copied into a fresh combined tensor,_finalize output.copy_ after combine,reuse in-place output or scatter directly,aliasing and downstream synchronization,UNKNOWN,vLLM kernel path,ANALYTICAL_UNKNOWN,UNTESTED
A18,materialization,Hidden states must be fully materialized at every layer,FusedMoE returns output tensor to next layer,retain compressed/remote representation,extra decode logic and numerical error,UNKNOWN,activation compression,ANALYTICAL_UNKNOWN,UNTESTED
A19,materialization,KV state and EP buffers are independent,vLLM KV/cache and DeepEP Buffer lifecycles are separate,co-design buffer lifetime,correctness and fragmentation,UNKNOWN,KV serving work,ANALYTICAL_UNKNOWN,UNTESTED
A20,workload,A single execution contract fits prefill and decode,same DeepEP HT prepare/finalize selected; prior LL attempts unsupported,phase-specific contracts,backend switching and warmup,0.25-2.10 prior static envelope,Moebius/phase scheduling,LOW_HEADROOM,DROP
A21,workload,All layers benefit from one DeepEP configuration,DeepEP manager has one num_sms and config per process,layer-specific config,config churn and reproducibility,<=2.10 envelope,config tuning,LOW_HEADROOM,DROP
A22,workload,All experts share one kernel/tile regime,Triton unquantized MoE uses shape-dependent kernels,per-expert regime selection,launch/packing overhead,synthetic fragmentation prior <2 stable E2E,DA-MoE/RaMP,PRIOR_ART_COLLISION,DROP
A23,workload,Per-expert histogram is a sufficient cost descriptor,online Model1 added distribution with no gain over M,incidence/order-aware descriptor,feature extraction overhead,Model2->3 +0.001%,DA-MoE/TEMPO,LOW_HEADROOM,DROP
A24,workload,Rank load is sufficient to explain distributed cost,Model2 held-out R2 approximately 0 and fanout adds nothing,add state/stream/ownership features,telemetry and instrumentation,unknown but tail direct mass 1.09%,TEMPO/PROBE,ANALYTICAL_WEAK,DROP
A25,workload,Token order within a route is performance-neutral,fixed-route order was not promoted; source packs by expert,permute incidence/order,packing and cache effects,UNKNOWN,packing/rebatching,ANALYTICAL_UNKNOWN,UNTESTED
A26,workload,Request composition does not alter optimal EP contract,H10/H11/H46 wave changes did not carry to request medians,composition-aware execution,policy complexity,<=2.5 request effect,PROBE/Gimbal,LOW_HEADROOM,DROP
A27,scheduling,One static DP/EP partition is adequate for the whole request stream,TP2/DP2/EP4 fixed in validated runs,partition by wave/state,redistribution and synchronization,<=1.8 prior DP effects,Moebius/HAP,PRIOR_ART_COLLISION,DROP
A28,scheduling,Continuous batching can only admit at step boundaries,V1 scheduler schedules token counts per step,mid-step admission,queue complexity and KV safety,UNKNOWN,Layered Prefill,ANALYTICAL_UNKNOWN,UNTESTED
A29,scheduling,Output completion order is not part of execution cost,wave/request divergence H06/H47,decouple output service and model waves,response buffering and API semantics,0 request median despite 87-92 wave,serving systems,LOW_HEADROOM,DROP
A30,scheduling,CPU launch cadence is outside the MoE critical path,H25/H33 host effects weak; observer tax +3.27%,host-side batching or launch coalescing,queueing delay and responsiveness,3.27 observer tax is overhead not removable work,vLLM runtime,LOW_HEADROOM,DROP
A31,scheduling,A step's pre-MoE queue residence is independent of prior state,fixed tails show previous dispatch association,queue-aware admission,host telemetry and fairness,1.09 direct tail cap,async runtime,LOW_HEADROOM,DROP
A32,scheduling,Global scheduler state is independent of GPU clock/allocator state,common H45/H48 regimes move both arms,telemetry-aware execution,monitoring overhead,UNKNOWN,generic runtime,ANALYTICAL_UNKNOWN,UNTESTED
A33,communication,Sender-destination traffic matrix is equivalent to token incidence,fanout and matrix kept separate in online analysis,preserve incidence under same matrix,additional sparse metadata,Model3 no incremental gain,EP routing,LOW_HEADROOM,DROP
A34,communication,Communication volume is the only A2A cost variable,DeepEP configs expose fixed buffers and notify/barrier,change message ordering/credit use,protocol correctness,unknown but HT envelope <=2.1,DeepEP/ASAP,ANALYTICAL_WEAK,DROP
A35,communication,Every rank can progress independently after dispatch launch,Nsight barrier/notify shows collective dependency,rank-local progress or scoped notifications,deadlock and output ordering,1.09 direct cap,DeepEP semantics,LOW_HEADROOM,DROP
