case_id,request_id,category,modality,layer,M,ranks,rank_median_wall_ms,critical_wall_ms,rank_min_wall_ms,rank_spread_wall_ms,critical_layout_ms,dispatch_ms_mean_rank_ms,dispatch_ms_critical_ms,expert_ms_mean_rank_ms,expert_ms_critical_ms,combine_ms_mean_rank_ms,combine_ms_critical_ms,total_ms_per_token,dispatch_ms_per_token,expert_ms_per_token,combine_ms_per_token,token_count_x,token_count_y,total_assignments,tokens,assignments,active_experts,effective_experts,expert_entropy,expert_hhi,top4_assignment_fraction,top8_assignment_fraction,mean_active_expert_m,p50_active_expert_m,p95_active_expert_m,max_expert_m,tiny_expert_le1_fraction,tiny_expert_le2_fraction,tiny_expert_le4_fraction,rank_max_mean,rank_cv,rank_max,rank_min,unique_ranks_per_token,p_u4,p_u_ge3,correctness
deep_field_text_l24_m128,deep_field,natural,text,24,128,4,0.8493200093507767,0.8755519986152649,0.8367679715156555,0.038784027099609375,0.029600000008940697,0.1783479992300272,0.20508799888193607,0.4102800115942955,0.4165920168161392,0.08675598353147507,0.1006239652633667,0.006840249989181757,0.0016022499912651256,0.0032546251313760877,0.0007861247286200523,128,128,1024,128,1024,97,55.672464255986505,4.019485666636721,0.0254478454589843,0.212890625,0.35546875,10.556701030927837,6.0,38.19999999999993,73,0.2061855670103092,0.2989690721649484,0.4432989690721649,1.2578125,0.2389367265142463,322,184,3.625,0.6640625,0.9609375,True
deep_field_text_l24_m256,deep_field,natural,text,24,256,4,0.8411119878292084,0.8627039790153503,0.8362399935722351,0.026463985443115234,0.02723200060427189,0.18173199612647295,0.20214399695396423,0.4498399905860424,0.4604640007019043,0.08571600914001465,0.09465599060058594,0.0033699374180287123,0.0007896249881014228,0.0017986875027418137,0.0003697499632835388,256,256,2048,256,2048,103,57.25065193645314,4.047439029905811,0.0254912376403808,0.216796875,0.3525390625,19.883495145631063,13.0,70.0,151,0.174757281553398,0.2524271844660194,0.2912621359223301,1.236328125,0.1976568289887765,633,382,3.64453125,0.67578125,0.96875,True
deep_field_text_l24_m32,deep_field,natural,text,24,32,4,0.8316080123186111,0.8489600121974945,0.8163520097732544,0.03260800242424011,0.025696000084280968,0.16094800259452313,0.17913600010797381,0.39397600293159485,0.39955200254917145,0.07918799668550491,0.08987200260162354,0.026530000381171703,0.005598000003374182,0.012486000079661608,0.0028085000813007355,32,32,256,32,256,66,40.887221569426686,3.71081758316664,0.033111572265625,0.234375,0.41796875,3.878787878787879,1.5,13.0,18,0.5,0.5454545454545454,0.7272727272727273,1.3125,0.2653951211166098,84,41,3.59375,0.59375,1.0,True
deep_field_text_l24_m512,deep_field,natural,text,24,512,4,0.9209999889135361,0.9446879923343658,0.9115199744701385,0.033168017864227295,0.02844800055027008,0.20928799966350198,0.22840000549331307,0.5136200003325939,0.5349760055541992,0.09430799633264542,0.12055999040603638,0.0018450937350280583,0.0004460937607291271,0.0010448750108480453,0.0002354687312617898,512,512,4096,512,4096,110,58.88001636122279,4.075501752294611,0.0234179496765136,0.1982421875,0.304931640625,37.23636363636364,19.0,111.29999999999998,274,0.1545454545454545,0.2272727272727272,0.2727272727272727,1.212890625,0.1733460331201332,1242,827,3.634765625,0.6640625,0.970703125,True
deep_field_text_l24_m64,deep_field,natural,text,24,64,4,0.8374879956245422,0.8563680052757263,0.8331519961357117,0.02321600914001465,0.02630399912595749,0.16575999825727195,0.1815359960310161,0.39889199659228325,0.39987199008464813,0.08657200634479523,0.09963199496269226,0.013380750082433224,0.0028364999379846267,0.006247999845072627,0.0015567499212920666,64,64,512,64,512,82,46.12529220971657,3.831361437510631,0.0300979614257812,0.22265625,0.376953125,6.243902439024391,3.0,21.90000000000001,35,0.3292682926829268,0.4756097560975609,0.6585365853658537,1.265625,0.2251437257967119,162,97,3.65625,0.65625,1.0,True
deep_field_text_l44_m128,deep_field,natural,text,44,128,4,0.8391920030117035,0.8557440042495728,0.8289439976215363,0.0268000066280365,0.03203200176358223,0.16968799789901823,0.1872319974936545,0.40543198958039284,0.4138399809598923,0.08289600908756256,0.09099197387695312,0.006685500033199787,0.0014627499804191757,0.0032331248512491584,0.0007108747959136963,128,128,1024,128,1024,91,49.79687663483882,3.907952263887813,0.0293388366699218,0.2451171875,0.4052734375,11.252747252747254,6.0,47.5,66,0.2087912087912088,0.3186813186813186,0.4175824175824176,1.07421875,0.0587887380597359,275,236,3.78125,0.7890625,0.9921875,True
deep_field_text_l44_m256,deep_field,natural,text,44,256,4,0.8507439941167831,0.8692959845066071,0.8479999899864197,0.021295994520187378,0.026559999212622643,0.18624399765394628,0.1999199972487986,0.4450159966945648,0.4625599980354309,0.08853600919246674,0.09713602066040039,0.003395687439478934,0.0007809374892531196,0.001806874992325902,0.000379437580704689,256,256,2048,256,2048,100,47.9072376616598,3.86926659241085,0.0310730934143066,0.26025390625,0.41162109375,20.48,8.5,75.6499999999999,155,0.21,0.28,0.39,1.041015625,0.037083667082124,533,488,3.8046875,0.80859375,0.99609375,True
deep_field_text_l44_m32,deep_field,natural,text,44,32,4,0.8220879882574081,0.8416639864444733,0.819135993719101,0.022527992725372314,0.02672000043094158,0.15892400161828846,0.17369600106030703,0.39532000571489334,0.4001919776201248,0.07749999314546585,0.09241601824760437,0.02630199957638979,0.0054280000331345946,0.0125059993006289,0.0028880005702376366,32,32,256,32,256,74,51.66017597343498,3.944687194038877,0.0263671875,0.22265625,0.359375,3.45945945945946,2.0,11.349999999999994,17,0.3243243243243243,0.5540540540540541,0.7567567567567568,1.078125,0.0506307867063114,69,60,3.75,0.75,1.0,True
deep_field_text_l44_m512,deep_field,natural,text,44,512,4,0.9345840066671371,0.9467359781265259,0.917824000120163,0.028911978006362915,0.026464000344276428,0.217168002971448,0.23636800469830632,0.5264200046658516,0.5342720001935959,0.0777759999036789,0.08876800537109375,0.0018490937072783709,0.00046165625917637954,0.001043500000378117,0.00017337501049041748,512,512,4096,512,4096,107,45.58827114359863,3.8196504716725337,0.0343109369277954,0.2861328125,0.44091796875,38.2803738317757,13.0,155.7999999999996,339,0.1495327102803738,0.2242990654205607,0.3551401869158878,1.0986328125,0.0683907573054609,1125,947,3.814453125,0.818359375,0.99609375,True
deep_field_text_l44_m64,deep_field,natural,text,44,64,4,0.8277280032634735,0.8527040183544159,0.8228960037231445,0.029808014631271362,0.025855999439954758,0.16319200245197862,0.17924800282344222,0.40117599070072174,0.40385599434375763,0.08356798440217972,0.09219199419021606,0.013323500286787748,0.0028007500441162847,0.006310249911621213,0.001440499909222126,64,64,512,64,512,86,53.934843548379256,3.987776717079313,0.0252304077148437,0.193359375,0.34765625,5.953488372093023,4.0,21.5,28,0.2674418604651162,0.3837209302325581,0.5813953488372093,1.1171875,0.1034971976522794,143,112,3.703125,0.71875,0.984375,True
deep_field_text_l4_m128,deep_field,natural,text,4,128,4,0.8492560088634491,0.8679679930210114,0.8416000008583069,0.026367992162704468,0.028351999819278717,0.17304800171405077,0.19430400617420673,0.41623998805880547,0.43295997381210327,0.09731600433588028,0.11931201815605164,0.006780999945476651,0.00151800004823599,0.003382499795407057,0.0009321251418441534,128,128,1024,128,1024,103,62.191636277186845,4.13022052570691,0.0236949920654296,0.21484375,0.330078125,9.941747572815531,7.0,32.29999999999994,76,0.116504854368932,0.2524271844660194,0.4174757281553398,1.2890625,0.19160544481923,330,196,3.53125,0.5859375,0.9453125,True
deep_field_text_l4_m256,deep_field,natural,text,4,256,4,0.8606079965829849,0.8798080086708069,0.8542079925537109,0.025600016117095947,0.027648000046610832,0.18554399930872023,0.20403200341388583,0.4440000057220459,0.46083199977874756,0.08951999992132187,0.11664000153541565,0.0034367500338703394,0.0007970000133354915,0.0018001249991357327,0.0004556250059977174,256,256,2048,256,2048,112,60.82165279956983,4.107945857144197,0.0264945030212402,0.25048828125,0.35791015625,18.285714285714285,9.5,50.69999999999993,149,0.0892857142857142,0.1607142857142857,0.2946428571428571,1.3515625,0.2285197983059092,692,375,3.54296875,0.58984375,0.953125,True
deep_field_text_l4_m32,deep_field,natural,text,4,32,4,0.8370960056781769,0.8665440082550049,0.8324800133705139,0.03406399488449097,0.026559999212622643,0.15624800056684762,0.17540799919515848,0.3958999961614609,0.40331199765205383,0.09064000099897385,0.11055999994277954,0.027079500257968903,0.0054814999748487025,0.012603499926626682,0.0034549999982118607,32,32,256,32,256,63,44.6124949613747,3.798013975874265,0.02935791015625,0.23046875,0.3828125,4.063492063492063,3.0,10.9,18,0.2857142857142857,0.4603174603174603,0.7301587301587301,1.234375,0.1649899381401787,79,50,3.5625,0.65625,0.90625,True
