experiment,policy,requests,datasets,assignment_drop_pct,max_rank_reduction_pct,mean_kl_per_answer_token,median_kl_per_answer_token,short_greedy_exact_pct,benchmark_correct,reference_benchmark_correct,benchmark_delta_pp
proxy_quality_heldout32_20260911,contribution_f0.2,32,chartqa;gqa,18.013246297144605,16.660776749249194,0.004626930606909552,0.002650192938745022,96.875,25,24,3.125
proxy_quality_heldout32_20260911,contribution_f0.3,32,chartqa;gqa,27.019869445716903,25.370477351487896,0.009195362786770245,0.0022046759841032326,96.875,25,24,3.125
proxy_quality_heldout32_20260911,fixed_vision_k6,32,chartqa;gqa,22.516557871430752,20.734606718701325,0.005544962386355046,0.0020107189775444567,100.0,24,24,0.0
proxy_quality_heldout32_20260911,router_mass_t0.8,32,chartqa;gqa,17.859372502893734,16.61394693106267,0.005248154869379906,0.0017686272622086108,96.875,25,24,3.125
proxy_quality_heldout32_20260911,router_mass_t0.9,32,chartqa;gqa,6.653672986333508,6.111575327131483,0.003527665703822569,0.0013985232799313962,100.0,24,24,0.0
proxy_quality_heldout32_20260911,semantic_coarse_0.2,32,chartqa;gqa,18.130630630630627,17.546737354897505,0.005579478784437875,0.002523308154195547,96.875,23,24,-3.125
proxy_quality_heldout32_20260911,semantic_coarse_0.3,32,chartqa;gqa,26.189312100329055,24.73631516531838,0.006878466146262419,0.00227555469609797,96.875,23,24,-3.125
proxy_quality_heldout32_20260911,semantic_full_0.2,32,chartqa;gqa,18.609332244523717,17.888006472618272,0.004411836218731313,0.0033912149956449866,100.0,24,24,0.0
proxy_quality_heldout32_20260911,semantic_full_0.3,32,chartqa;gqa,27.154884032114186,26.086213845334647,0.00583683373709043,0.002824672730639577,100.0,24,24,0.0
proxy_quality_heldout32_20260911,stock,32,chartqa;gqa,0.0,0.0,2.7220736255328948e-09,0.0,100.0,24,24,0.0
proxy_quality_heldout32_eprefine_20260911,ep_refined_0.2_s0.05,32,chartqa;gqa,18.609332244523717,25.04713392013628,0.0038685288707992482,0.002794161788187921,100.0,24,24,0.0
proxy_quality_heldout32_eprefine_20260911,ep_refined_0.3_s0.05,32,chartqa;gqa,27.154884032114186,33.434320883305,0.005516147291189544,0.0037018832517787814,96.875,25,24,3.125
proxy_quality_heldout32_eprefine_20260911,stock,32,chartqa;gqa,0.0,0.0,2.7220736255328948e-09,0.0,100.0,24,24,0.0
