case_id,request_id,category,modality,layer,M,ranks,rank_median_wall_ms,critical_wall_ms,rank_min_wall_ms,rank_spread_wall_ms,critical_layout_ms,dispatch_ms_mean_rank_ms,dispatch_ms_critical_ms,expert_ms_mean_rank_ms,expert_ms_critical_ms,combine_ms_mean_rank_ms,combine_ms_critical_ms,total_ms_per_token,dispatch_ms_per_token,expert_ms_per_token,combine_ms_per_token,token_count_x,token_count_y,total_assignments,tokens,assignments,active_experts,effective_experts,expert_entropy,expert_hhi,top4_assignment_fraction,top8_assignment_fraction,mean_active_expert_m,p50_active_expert_m,p95_active_expert_m,max_expert_m,tiny_expert_le1_fraction,tiny_expert_le2_fraction,tiny_expert_le4_fraction,rank_max_mean,rank_cv,rank_max,rank_min,unique_ranks_per_token,p_u4,p_u_ge3,correctness
deep_field_text_l24_m128,deep_field,natural,text,24,128,4,0.8471039980649948,0.8576000034809113,0.836927980184555,0.0206720232963562,0.025248000398278236,0.16981599875725806,0.18659200007095933,0.4140639901161194,0.42926400899887085,0.09247198700904846,0.10665598511695862,0.006700000027194619,0.0014577500005543698,0.0033536250703036785,0.0008332498837262392,128,128,1024,128,1024,97,55.672464255986505,4.019485666636721,0.0254478454589843,0.212890625,0.35546875,10.556701030927837,6.0,38.19999999999993,73,0.2061855670103092,0.2989690721649484,0.4432989690721649,1.2578125,0.2389367265142463,322,184,3.625,0.6640625,0.9609375,True
deep_field_text_l24_m256,deep_field,natural,text,24,256,4,0.8549440056085587,0.8795199990272522,0.8434880077838898,0.03603199124336243,0.02611199952661991,0.18624400056432933,0.20612800028175116,0.45274799689650536,0.45851199328899384,0.08659999072551727,0.09708800911903381,0.003435624996200204,0.0008051875011005905,0.0017910624737851322,0.00037925003562122583,256,256,2048,256,2048,103,57.25065193645314,4.047439029905811,0.0254912376403808,0.216796875,0.3525390625,19.883495145631063,13.0,70.0,151,0.174757281553398,0.2524271844660194,0.2912621359223301,1.236328125,0.1976568289887765,633,382,3.64453125,0.67578125,0.96875,True
deep_field_text_l24_m32,deep_field,natural,text,24,32,4,0.8287199884653091,0.8520479798316956,0.8196960091590881,0.03235197067260742,0.026464000344276428,0.1610799974296242,0.18119999766349792,0.39663199707865715,0.4005279988050461,0.07555600255727768,0.08536002039909363,0.026626499369740486,0.00566249992698431,0.01251649996265769,0.002667500637471676,32,32,256,32,256,66,40.887221569426686,3.71081758316664,0.033111572265625,0.234375,0.41796875,3.878787878787879,1.5,13.0,18,0.5,0.5454545454545454,0.7272727272727273,1.3125,0.2653951211166098,84,41,3.59375,0.59375,1.0,True
deep_field_text_l24_m512,deep_field,natural,text,24,512,4,0.9068879932165146,0.924992024898529,0.8988319933414459,0.02616003155708313,0.02687999978661537,0.20878799946513027,0.22313600219786167,0.5081360004842281,0.5281440019607544,0.08676398545503616,0.10817599296569824,0.0018066250486299396,0.0004358125042926986,0.0010315312538295984,0.00021128123626112938,512,512,4096,512,4096,110,58.88001636122279,4.075501752294611,0.0234179496765136,0.1982421875,0.304931640625,37.23636363636364,19.0,111.29999999999998,274,0.1545454545454545,0.2272727272727272,0.2727272727272727,1.212890625,0.1733460331201332,1242,827,3.634765625,0.6640625,0.970703125,True
deep_field_text_l24_m64,deep_field,natural,text,24,64,4,0.8322160094976425,0.8511040210723877,0.8230080008506775,0.028096020221710205,0.03580800071358681,0.1624999986961484,0.1813119938597083,0.39750800281763077,0.4029280096292496,0.08209198713302612,0.09224000573158264,0.013298500329256058,0.0028329999040579423,0.006295750150457025,0.0014412500895559788,64,64,512,64,512,82,46.12529220971657,3.831361437510631,0.0300979614257812,0.22265625,0.376953125,6.243902439024391,3.0,21.90000000000001,35,0.3292682926829268,0.4756097560975609,0.6585365853658537,1.265625,0.2251437257967119,162,97,3.65625,0.65625,1.0,True
deep_field_text_l44_m128,deep_field,natural,text,44,128,4,0.8438960015773773,0.8668320178985596,0.8319360017776489,0.034896016120910645,0.024224000051617622,0.17275199946016073,0.19344000099226832,0.4058239944279194,0.415568009018898,0.09133199602365494,0.10766398906707764,0.006772125139832497,0.0015112500077520963,0.0032466250704601407,0.000841124914586544,128,128,1024,128,1024,91,49.79687663483882,3.907952263887813,0.0293388366699218,0.2451171875,0.4052734375,11.252747252747254,6.0,47.5,66,0.2087912087912088,0.3186813186813186,0.4175824175824176,1.07421875,0.0587887380597359,275,236,3.78125,0.7890625,0.9921875,True
deep_field_text_l44_m256,deep_field,natural,text,44,256,4,0.8525520116090775,0.8761280179023743,0.8446400165557861,0.031488001346588135,0.02687999978661537,0.19171999744139612,0.21177599346265197,0.44634799286723137,0.4660159945487976,0.08891600370407104,0.10516801476478577,0.0034223750699311495,0.0008272499744634843,0.0018203749787062407,0.0004108125576749444,256,256,2048,256,2048,100,47.9072376616598,3.86926659241085,0.0310730934143066,0.26025390625,0.41162109375,20.48,8.5,75.6499999999999,155,0.21,0.28,0.39,1.041015625,0.037083667082124,533,488,3.8046875,0.80859375,0.99609375,True
deep_field_text_l44_m32,deep_field,natural,text,44,32,4,0.8331839889287949,0.8503199815750122,0.8214080035686493,0.028911978006362915,0.025728000327944756,0.16123999934643507,0.17835199972614646,0.393980011343956,0.40459200739860535,0.08186398446559906,0.09390398859977722,0.02657249942421913,0.005573499991442077,0.012643500231206417,0.002934499643743038,32,32,256,32,256,74,51.66017597343498,3.944687194038877,0.0263671875,0.22265625,0.359375,3.45945945945946,2.0,11.349999999999994,17,0.3243243243243243,0.5540540540540541,0.7567567567567568,1.078125,0.0506307867063114,69,60,3.75,0.75,1.0,True
deep_field_text_l44_m512,deep_field,natural,text,44,512,4,0.9229680150747299,0.9391839802265167,0.9100320041179657,0.029151976108551025,0.029791999608278275,0.21131999942008406,0.22596799908205867,0.5276879966259003,0.538096010684967,0.07873999327421188,0.09935998916625977,0.0018343437113799155,0.00044134374820714584,0.0010509687708690763,0.0001940624788403511,512,512,4096,512,4096,107,45.58827114359863,3.8196504716725337,0.0343109369277954,0.2861328125,0.44091796875,38.2803738317757,13.0,155.7999999999996,339,0.1495327102803738,0.2242990654205607,0.3551401869158878,1.0986328125,0.0683907573054609,1125,947,3.814453125,0.818359375,0.99609375,True
deep_field_text_l44_m64,deep_field,natural,text,44,64,4,0.8306559920310974,0.855184018611908,0.8225280046463013,0.03265601396560669,0.03286400064826012,0.16539599956013262,0.18824000330641866,0.39592399448156357,0.40059201419353485,0.08296801149845123,0.09566399455070496,0.013362250290811062,0.0029412500516627915,0.006259250221773982,0.001494749914854765,64,64,512,64,512,86,53.934843548379256,3.987776717079313,0.0252304077148437,0.193359375,0.34765625,5.953488372093023,4.0,21.5,28,0.2674418604651162,0.3837209302325581,0.5813953488372093,1.1171875,0.1034971976522794,143,112,3.703125,0.71875,0.984375,True
