candidate,semantic_contract,perfect_e2e_percent,feasible_e2e_percent,faster_runtime_0_25x_percent,main_evidence,decision
A_rank_local_refine_global_verify,verifier-exact,0.0,0.0,0.0,"best union hit 54.21%; 4/4 consensus coverage 5.95%; local/global cost 0.684",KILL
B_multistep_local_draft,verifier-exact if trajectory verifier exists,0.000052,0.0,0.0,"K4 optimistic survival 7.83e-6; no live bidirectional verifier",KILL
C_block_hot_replica_cache,exact,0.153,0.153,0.0,"measured P2P copy; critical-rank compute penalty dominates",KILL
D_elastic_ep_degree,exact with resident topology state,0.0,0.0,0.0,"EP1 wins every M=1..256 and every captured iteration",KILL
E_confidence_gated_scope,approximate or verifier-exact,0.0,0.0,0.0,"top-2-rank mass>=0.9 only 5.45%; rank-local verifier signal fails",KILL
F_temporal_delta_dispatch,exact dense delta,0.0,0.0,0.0,"same dense element count; codec-free FP8 cap only 3.11%",KILL
G_layer_gated_global_ep,approximate,76.30,0.0,0.0,"impossible free-MoE cap only; lag1 combined rel-L2 49.1%; Epoch/DICE collision",KILL
H_cross_iteration_overlap,exact if independent,6.23,0.0,0.0,"free-all-comm cap; no independent batch-one slack",KILL
I_rank_coherent_near_tie,approximate,0.59,0.0,0.15,"1% router-mass loss reduces fanout 9.4%; proportional startup cap only",KILL
J_exact_route_layout_reuse,exact,0.10,0.0,0.0,"full rank-count vector repeats only 0.144%",KILL
