layer,M,critical_wall_ms,total_ms_per_token
4,32,0.8695600032806396,0.027173750102519947
4,64,0.8525999933481216,0.01332187489606435
4,128,0.8729040026664734,0.0068195625208317505
4,256,0.8758319914340973,0.0034212187165394
4,512,1.4692879915237427,0.00286970310844475
24,32,0.8533600121736526,0.0266675003804266
24,64,0.8560240119695663,0.01337537518702445
24,128,0.8693280071020126,0.0067916250554844
24,256,0.8672960102558136,0.0033878750400617
24,512,1.1527919918298721,0.0022515468590427
44,32,0.8480319976806641,0.0265009999275207
44,64,0.8529520034790039,0.0133273750543594
44,128,0.8621040135622025,0.006735187605954649
44,256,0.8702559918165207,0.00339943746803325
44,512,0.9468879997730255,0.0018493906245566501
