attempt_id,attempt,status,device,result
A00,fresh strongest-static EP4 compatibility on GPUs 4-7,completed,GPU4-7,GSM8K NFE66 and exact outputs match prior anchor; timing excluded from baseline statistics
A01,post-compaction shape atlas,completed,CPU,future-known live-row sensitivity; exact route invariants pass
A02,dense actual-runtime atlas,completed,CPU,measured physical rows and routes
A03,vLLM fused expert replay,completed,GPU4,default untuned E64/N1024 H100 config in installed vLLM
A04,torch._grouped_mm replay,completed,GPU4,strongest valid owner-local kernel in tested environment
A05,wrong-direction two-subgroup hybrid,completed-negative-control,GPU4,grouped tiny + fused large never wins
A06,crossover-directed two-subgroup hybrid,completed-negative,GPU4,fused M_e=1 + grouped M_e>=2 never beats grouped whole
A07,SonicMoE install,not-attempted-incompatible,none,current official prerequisites CUDA>=12.9/Python3.12; local CUDA12.8/Python3.11
A08,custom RefineGEMM CUDA,not-authorized-by-gate,none,credible additional request E2E <5%
A09,full-model integration,not-authorized-by-gate,none,no custom kernel; baseline quality anchor reused
