hypothesis,tier,status,effect_strength,robustness,causal_clarity,novelty_potential,systems_importance,implementability,evidence,primary_result,control_or_limitation
H01_balance_fragmentation_paradox,A,NO_GO,1,4,5,2,3,2,real_kernels_controlled_routes,"A2->A16 expert -50.1% M512 and -33.6% M1024 in first grid; not stable as general law","same M/assignments/rank load; synthetic route IDs"
H01b_active_expert_sweet_spot,A,HOLD,3,2,4,3,4,3,real_kernels_controlled_routes,"A2->A32 first grid large gains, 100-rep repeat near zero/positive","worker-state/order confound"
H01c_kernel_regime_boundary,A,HOLD,3,2,3,3,4,2,real_kernels_controlled_routes,"apparent M4096 collapse not reproduced consistently","kernel names not captured"
H01d_kernel_identity,A,BLOCKED,0,1,1,3,3,2,artifact_audit,"no direct kernel identity in replay JSON","needs bounded kernel trace"
H02_fragmentation_scaling,A,NO_GO,1,3,4,2,3,3,leave_request_out_mining,"shape model held-out RMSE change -0.27% vs assignments-only","preserved artifact range"
H03_router_uncertainty,A,BLOCKED,0,1,1,2,2,2,artifact_audit,"router probabilities/margins not preserved","new route-score capture required"
H04_route_shape_transition,A,NO_GO,1,2,4,2,2,3,real_fixed_route_replay,"alternating target effect +4.4%","below preregistered 5%"
H05b_temporal_route_warmth,A,REJECTED,1,4,5,2,2,3,randomized_live_replay,"30 targets/condition effects within 1.4%","similar-prime +27.8% vanished"
H05c_position_allocator_tail,A,PROMISING_DIAGNOSTIC,3,2,4,3,4,3,randomized_live_replay,"position-duration Pearson -0.443; CV up to 47.5%","state mechanism unresolved"
H06_fanout_tax,A,NO_GO,1,3,3,2,3,3,fanout_live_replay,"fanout is not a monotone tax","same volume/rank load"
H10_layer_specific,A,HOLD,2,4,3,3,3,3,real_replay,"45.3% layer spread at M512","kernel/layer confounding"
H13_visual_complexity,A,HOLD,2,4,3,3,3,3,equal_M_real_route_mining,"30.2% category spread at M512 but unstable","no stable control-plane rule"
H15_residual_mining,A,HOLD,3,2,3,3,4,3,expanded_live_replay,"R2 .529 expert/wall; .092 dispatch; .197 combine","persistent-worker medians, not independent launches"
H16_first_shape_state,A,STRONG_DIAGNOSTIC,5,5,5,3,4,4,order_control_live_replay,"A2/A32 sign flip: expert +60.8% vs -37.3%; wall +134.6% vs -54.0%","not routing causality; first-use state"
H17_layer_M_interaction,A,HOLD,3,3,3,3,4,2,multi_layer_live_replay,"M512 shape response differs by layer","needs kernel attribution"
H19_phase_specific_fanout,A,PROMISING_DIAGNOSTIC,4,4,4,4,4,3,fanout_live_replay,"M512 expert -12.4..-17.1%; M128 +104..+114% across layers","combine baseline noisy"
H20_kernel_launch_boundary,A,PENDING,0,0,0,4,4,2,generated,"test kernel identity/launch shape","not yet measured"
H21_natural_route_fast_band,A,PENDING,0,0,0,3,3,3,generated,"test real-route proximity to controlled band","not yet measured"
H22_expert_vs_combine_fanout,A,PENDING,0,0,0,3,4,3,generated,"phase-specific cost separation","not yet measured"
H23_global_warmup_order,A,PROMISING_DIAGNOSTIC,5,4,5,3,4,4,order_control_live_replay,"first-case shape dominates sign","requires explicit global prewarm"
