hypothesis,tier,evidence,status,effect_strength,robustness,causal_clarity,novelty_potential,implementability,primary_result,control_or_limitation
H01_balance_fragmentation_paradox,A,real_Qwen3-VL_DeepEP_replay,NO_GO,1,4,5,2,3,"A2->A16 expert -50.09% M512; -33.56% M1024; wall -56.99%/-44.66%","same M/rank load/total assignments; A1 duplicate top-k diagnostic"
H02_fragmentation_scaling,A,leave_request_out_real_route_mining,NO_GO,1,3,4,2,3,"shape model RMSE change -0.27% vs N-only","N/M range limited to preserved artifact"
H03_router_uncertainty,A,artifact_audit,BLOCKED,0,1,1,2,2,"router probabilities/margins not preserved","requires new router-score capture"
H04_route_shape_transition,A,real_fixed_route_replay,NO_GO,1,2,4,3,3,"alternating vs steady +4.42% target-B median","same target route; high case variance"
H05_temporal_expert_warmth,A,real_fixed_route_replay,HOLD,2,1,4,3,3,"similar-prime +27.83% median but CV 72.7%","one recurring low tail and n=5 cases prevent robustness"
H06_rank_fanout_tax,A,real_route_mining,NO_GO,1,3,2,2,3,"fanout median/p90=4; no independent fanout-controlled effect","preserved table lacks causal fanout replay"
H07_token_order,B,real_tile_replay,NO_GO,1,4,4,2,3,"sequential 1.0105x; spatial 1.0031x; generic 1.0002x","identical routes/order control"
H08_dp_partition,B,oracle_replay,NO_GO,1,4,4,2,3,"median 1.0139x; best 1.0231x","paired partition oracle"
H09_physical_rank_mapping,C,artifact_audit,BLOCKED,0,1,1,2,2,"not rerun in sprint","requires controlled physical remapping"
H10_layer_specific,A,real_Qwen3-VL_replay,HOLD,2,4,3,3,3,"max-M layer spread 45.3%; curves differ but no common causal mechanism","layers 4/24/44 matched"
H11_prefill_decode,B,prior_live_reports,HOLD,2,3,3,2,3,"static tails <4%; no repeatable dynamic phase gap","decode comparison not newly controlled"
H12_multi_image,B,prior_real_multimodal,HOLD,2,3,3,2,3,"relative TP/EP gain tracks volume; no modality crossover","token volume confound"
H13_visual_semantic_complexity,A,equal_M_real_route_mining,HOLD,2,4,3,3,3,"vision category spread 30.2% at M512, not stable enough","equal M/category control; operator-level"
H14_spatial_geometry,C,prior_tile_replay,NO_GO,1,4,4,2,3,"<5% normalized spatial/order signal","spatial/order controls"
H15_sufficient_statistics,A,integrated_residual_mining,HOLD,2,2,3,3,3,"linear 5-feature fit R2=.326; 37/90 residuals >=10%","residuals cluster by M/layer; no new validated mechanism"
