id,status,effect_pct,repetitions,causal_control,mechanism,genericity,novelty_risk,effect_strength,robustness,causal_clarity,novelty_potential,implementability
H1,NO_GO,2.10 max exact-M; 0.11 median prefill,10 clean HT runs,"SMS 8/12/20 route-joined complete invocations; restart confounded",no stable SMS optimum,generic EP runtime,high,1,3,2,2,3
H2,BLOCKED,not available,stock hook,separate dispatch/combine events absent,unknown,unknown,high,0,1,1,1,2
H3,BLOCKED,LL init failed,2 attempts,MBT 8192 and 1024,DeepEP LL qp-depth assertion,runtime-specific,high,0,3,4,1,1
H4,HOLD,no stable residual,mixed prefill/decode waves,phase/M grouping,unresolved,generic,high,1,2,1,1,2
H5,BLOCKED,not directly measurable,6 HT runs,DP rank rows only,source asymmetry unresolved,EP-specific candidate,high,0,1,1,2,2
H6,NOT_RUN,not isolated,0,requires empty participant,unknown,generic,medium,0,0,0,1,2
H7,HOLD,no repeatable >=5% layer ranking,48 layers,natural fixed layer/M bins,layer variation descriptive,generic,medium,2,2,2,2,3
H8,PROMISING_ANOMALY,10–100x fixed M/layer outlier clusters,20+ per route-joined group,same M/layer/assignments/fanout,rank/stream/scheduler state candidate,generic/EP candidate,medium,5,3,2,3,3
H9,BLOCKED,rank critical span only,1.52M complete invocations,no global clock subtraction,cross-rank co-occurrence unresolved,EP-specific candidate,high,2,3,1,2,2
H10,HOLD,burst/steady p90 descriptive only,burst16 + long steady,not rate-matched,workload/state confounded,generic,high,2,2,1,1,2
H11,NO_GO,0.11% median; 2.10% max,11 exact-M bins,HT SMS route-joined envelope,no meaningful oracle headroom,generic EP runtime,high,1,3,2,1,3
H12,NOT_RUN,gated,0,requires strong H1–H11 finding,unknown,unknown,high,0,0,0,0,1
