category,modality,M,critical_wall_ms,total_ms_per_token,active_experts,rank_cv
chart_document,text,32,0.8544480204582214,0.0267015006393194,67.0,0.1510865594204196
chart_document,text,64,0.8662720024585724,0.0135355000384151,77.0,0.1545809291985107
chart_document,text,128,0.8615040183067322,0.0067305001430213,93.0,0.1404893008465191
chart_document,text,256,0.8689440190792084,0.0033943125745281,102.0,0.1781791738480231
chart_document,text,512,1.369167983531952,0.0026741562178358,109.0,0.1449397731535305
chart_document,vision,32,0.8797279894351959,0.0274914996698498,63.0,0.2176310668310018
chart_document,vision,64,0.8664799928665161,0.0135387498885393,82.0,0.2080238586827242
chart_document,vision,128,0.878352016210556,0.0068621251266449,111.0,0.1777451061320852
chart_document,vision,256,0.8909440040588379,0.0034802500158548,118.0,0.1553379140896096
chart_document,vision,512,1.3570079803466797,0.0026504062116146,124.0,0.1171569784471968
fine_grained,text,32,0.8737599849700928,0.0273049995303154,71.0,0.2642427269576213
fine_grained,text,64,0.8524160087108612,0.0133190001361072,83.0,0.1981820452182159
fine_grained,text,128,0.8543519973754883,0.006674624979496,91.0,0.1609877424608974
fine_grained,text,256,0.8760479986667633,0.003422062494792,99.0,0.1843505843208887
fine_grained,text,512,1.3625119924545288,0.0026611562352627,108.0,0.1953954901808325
fine_grained,vision,32,0.8526400029659271,0.0266450000926852,37.0,0.2555535505280644
fine_grained,vision,64,0.8531999886035919,0.0133312498219311,65.0,0.2262255036807852
fine_grained,vision,128,0.8606240153312683,0.0067236251197755,92.0,0.1380515394302522
fine_grained,vision,256,0.8732959926128387,0.0034113124711439,108.0,0.1231940464117039
fine_grained,vision,512,1.3577920198440552,0.0026519375387579,116.0,0.1810266104679358
natural,text,32,0.8489600121974945,0.0265300003811717,66.0,0.1649899381401787
natural,text,64,0.8563680052757263,0.0133807500824332,84.0,0.1280153875638589
natural,text,128,0.8679679930210114,0.0067809999454766,97.0,0.19160544481923
natural,text,256,0.8692959845066071,0.0033956874394789,103.0,0.1976568289887765
natural,text,512,0.946735978126526,0.0018490937072783,110.0,0.1733460331201332
natural,vision,32,0.8648159801959991,0.0270254993811249,47.0,0.1939011507186071
natural,vision,64,0.8521279990673065,0.0133144999854266,80.0,0.1968687995055336
natural,vision,128,0.8756960034370422,0.0068413750268518,97.0,0.1942745859501282
natural,vision,256,0.8662879765033722,0.0033839374082162,110.0,0.2091577114098055
natural,vision,512,0.9485760033130646,0.0018526875064708,117.0,0.1827046394047227
