accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction
,,,,5,0,32,,6.545696973800659,32,32,,,,none,66,0,"early,middle,late",baseline,,,,,,gsm8k,
0.0234375,1024,1.0,36,5,0,32,0.2459716796875,5.038093566894531,29,32,1,1024,0.1455078125,routed_bypass,66,0,early,routed_bypass_l01_early,1.0,36,0.0023924874099637283,0.009291197342423452,16,gsm8k,0.1455078125
0.015873015873015872,960,0.328125,8,5,0,32,0.25476190476190474,5.070736408233643,21,32,1,315,0.14603174603174604,routed_bypass,66,0,late,routed_bypass_l01_late,0.328125,8,0.005471964264870621,0.022971182406763546,16,gsm8k,0.06354166666666666
0.034482758620689655,992,0.4969758064516129,0,5,0,32,0.29703346855983775,4.783821105957031,11,32,1,493,0.1947261663286004,routed_bypass,63,0,middle,routed_bypass_l01_middle,0.4969758064516129,0,0.010478716434590751,0.04073001076903893,16,gsm8k,0.10987903225806452
0.0205078125,1024,1.0,36,5,0,32,0.23541259765625,4.78841233253479,24,32,8,1024,0.1220703125,routed_bypass,63,0,early,routed_bypass_l08_early,1.0,36,0.00222460111888112,0.008520709185183328,16,gsm8k,0.1220703125
0.015873015873015872,960,0.328125,8,5,0,32,0.2654761904761905,4.96799635887146,19,32,8,315,0.10793650793650794,routed_bypass,64,0,late,routed_bypass_l08_late,0.328125,8,0.005014294965803856,0.02289592189117684,16,gsm8k,0.05416666666666667
0.02434077079107505,992,0.4969758064516129,0,4,-1,32,0.3171906693711968,4.819817066192627,10,32,8,493,0.2231237322515213,routed_bypass,63,1,middle,routed_bypass_l08_middle,0.4969758064516129,0,0.013695936373551376,0.05926245611044578,16,gsm8k,0.12399193548387097
0.0166015625,1024,1.0,36,5,0,32,0.23760986328125,4.763928413391113,23,32,16,1024,0.12109375,routed_bypass,63,0,early,routed_bypass_l16_early,1.0,36,0.0018026145036351693,0.0073245494318490145,16,gsm8k,0.12109375
0.047619047619047616,960,0.328125,8,5,0,32,0.28154761904761905,5.081932067871094,18,32,16,315,0.15555555555555556,routed_bypass,66,0,late,routed_bypass_l16_late,0.328125,8,0.004227250936992277,0.016928839298316234,16,gsm8k,0.071875
0.038539553752535496,992,0.4969758064516129,0,4,-1,32,0.343052738336714,5.933482885360718,11,32,16,493,0.23935091277890466,routed_bypass,68,1,middle,routed_bypass_l16_middle,0.4969758064516129,0,0.06540715205483139,0.26812383998185396,16,gsm8k,0.13608870967741934
0.02734375,1024,1.0,36,5,0,32,0.32940673828125,4.75310206413269,24,32,24,1024,0.146484375,routed_bypass,62,0,early,routed_bypass_l24_early,1.0,36,0.006695361423074253,0.025045242775988186,16,gsm8k,0.146484375
0.009523809523809525,960,0.328125,8,5,0,32,0.2974206349206349,4.988184213638306,18,32,24,315,0.12063492063492064,routed_bypass,65,0,late,routed_bypass_l24_late,0.328125,8,0.005592208881580518,0.020877328261121875,16,gsm8k,0.059375
0.02231237322515213,992,0.4969758064516129,0,4,-1,32,0.2672413793103448,5.205399036407471,8,32,24,493,0.15010141987829614,routed_bypass,68,1,middle,routed_bypass_l24_middle,0.4969758064516129,0,0.0054085605224827304,0.02243451096001081,16,gsm8k,0.08870967741935484
0.0400390625,1024,1.0,36,5,0,32,0.5498046875,5.002345323562622,24,32,31,1024,0.203125,routed_bypass,66,0,early,routed_bypass_l31_early,1.0,36,0.008873737789031111,0.04139599362707713,16,gsm8k,0.203125
0.031746031746031744,960,0.328125,8,5,0,32,0.3767857142857143,4.800284385681152,17,32,31,315,0.15873015873015872,routed_bypass,60,0,late,routed_bypass_l31_late,0.328125,8,0.009555088936394895,0.03810154437815072,16,gsm8k,0.15208333333333332
0.06288032454361055,992,0.4969758064516129,0,5,0,32,0.3916075050709939,5.230283737182617,7,32,31,493,0.2129817444219067,routed_bypass,61,0,middle,routed_bypass_l31_middle,0.4969758064516129,0,0.01370797109848354,0.05672696841065772,16,gsm8k,0.16431451612903225
