candidate,scope,modality,tokens,mean_cosine,median_l2,mean_l2,p90_l2,quality_pass_rate,mean_selected_k,mean_router_mass,evidence,notes
mass70_plain,partial expert output,text,49,0.8960687239153923,0.2765307113052528,0.3372768566709934,0.9255407280610549,0.0,4.1020408163265305,0.7640398850856289,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass70_renormalized,partial expert output,text,49,0.8960687239160555,0.3820086997092766,0.4243173581822191,0.9290050892157508,0.0,4.1020408163265305,0.7640398850856289,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass80_plain,partial expert output,text,49,0.9099968596401009,0.18391434429148468,0.2701599628958615,0.9255407280610549,0.0,5.0,0.844686442885362,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass80_renormalized,partial expert output,text,49,0.9099968596407084,0.2514683351093468,0.3160536673646732,0.9290050892157508,0.0,5.0,0.844686442885362,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass90_plain,partial expert output,text,49,0.9362979982768115,0.1068408087912298,0.1944225000843277,0.853519938557334,0.12244897959183673,6.204081632653061,0.9244343639099172,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass90_renormalized,partial expert output,text,49,0.9362979982773135,0.13458171727751173,0.20953332650589446,0.8564592426492745,0.04081632653061224,6.204081632653061,0.9244343639099172,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass95_plain,partial expert output,text,49,0.9737961661166673,0.0,0.08761226156220503,0.6142581827883533,0.7346938775510204,7.408163265306122,0.9858285527354858,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass95_renormalized,partial expert output,text,49,0.9737961661169051,0.0,0.09059609498938266,0.6154421812974074,0.7142857142857143,7.408163265306122,0.9858285527354858,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass99_plain,partial expert output,text,49,0.9999999999939116,0.0,0.0,0.0,1.0,8.0,1.0,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass99_renormalized,partial expert output,text,49,0.9999999999939116,0.0,0.0,0.0,1.0,8.0,1.0,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
